Timestamp,Exact Passed,Approximate Passed,Total Passed,Failed,Total Processed,Exact Pass Rate (%),Approximate Pass Rate (%),Overall Pass Rate (%),Duration (seconds)
2025-08-25T15:38:09.369Z,0,14796,14796,18397,33193,0.00,44.58,44.58,1.653
2025-08-25T15:47:10.389Z,0,14933,14933,18260,33193,0.00,44.99,44.99,1.586
2025-08-25T17:16:08.490Z,0,14933,14933,18260,33193,0.00,44.99,44.99,0.827
2025-08-25T17:26:38.852Z,0,14933,14933,18260,33193,0.00,44.99,44.99,0.764
2025-08-25T17:58:54.891Z,0,15066,15066,18127,33193,0.00,45.39,45.39,0.745
2025-08-25T18:19:37.725Z,0,15427,15427,17759,33186,0.00,46.49,46.49,0.82
2025-08-25T18:30:10.565Z,0,15431,15431,17553,32984,0.00,46.78,46.78,0.843
2025-08-25T18:30:39.474Z,0,15431,15431,17352,32783,0.00,47.07,47.07,0.822
2025-08-25T18:31:15.444Z,0,15473,15473,17310,32783,0.00,47.20,47.20,0.918
2025-08-25T18:37:01.138Z,0,15475,15475,17304,32779,0.00,47.21,47.21,0.939
2025-08-25T18:50:11.292Z,0,19485,19485,13294,32779,0.00,59.44,59.44,0.924
2025-08-25T18:52:32.669Z,0,19514,19514,13262,32776,0.00,59.54,59.54,0.93
2025-08-25T18:57:53.748Z,0,19563,19563,13213,32776,0.00,59.69,59.69,0.935
2025-08-25T19:02:57.289Z,0,19688,19688,13083,32771,0.00,60.08,60.08,0.968
2025-08-25T19:03:33.573Z,0,19707,19707,13064,32771,0.00,60.14,60.14,0.949
2025-08-25T19:04:45.560Z,0,20056,20056,12715,32771,0.00,61.20,61.20,0.999
2025-08-25T19:11:40.938Z,0,20075,20075,12680,32755,0.00,61.29,61.29,0.988
2025-08-25T19:13:46.195Z,0,20074,20074,12678,32752,0.00,61.29,61.29,0.982
2025-08-25T19:15:23.878Z,0,20074,20074,12678,32752,0.00,61.29,61.29,0.966
2025-08-25T19:21:20.326Z,0,20453,20453,12299,32752,0.00,62.45,62.45,1.022
2025-08-25T19:21:33.830Z,0,20537,20537,12215,32752,0.00,62.70,62.70,0.972
2025-08-25T19:23:34.770Z,0,20634,20634,12118,32752,0.00,63.00,63.00,0.982
2025-08-25T19:25:04.821Z,0,17948,17948,14802,32750,0.00,54.80,54.80,0.976
2025-08-25T19:25:20.348Z,0,20634,20634,12116,32750,0.00,63.00,63.00,1.022
2025-08-25T19:25:41.829Z,0,20634,20634,12116,32750,0.00,63.00,63.00,1.077
2025-08-25T19:29:37.890Z,0,20634,20634,12116,32750,0.00,63.00,63.00,0.974
2025-08-25T22:13:44.810Z,0,20634,20634,12115,32749,0.00,63.01,63.01,0.941
2025-08-27T15:51:37.831Z,0,21048,21048,11701,32749,0.00,64.27,64.27,1.002
2025-08-27T15:58:04.783Z,0,21391,21391,11358,32749,0.00,65.32,65.32,1.043
2025-08-27T16:04:01.019Z,0,21398,21398,11351,32749,0.00,65.34,65.34,1.272
2025-08-27T17:19:09.205Z,0,21414,21414,11335,32749,0.00,65.39,65.39,1.326
2025-08-27T18:32:19.785Z,0,21414,21414,11335,32749,0.00,65.39,65.39,1.197
2025-08-27T18:35:03.882Z,0,21414,21414,11335,32749,0.00,65.39,65.39,1.387
2025-08-27T18:54:27.157Z,15763,5651,21414,11335,32749,48.13,17.26,65.39,1.12
2025-08-27T19:10:04.441Z,16374,5110,21484,11265,32749,50.00,15.60,65.60,1.181
2025-08-27T19:13:26.885Z,16374,5191,21565,11184,32749,50.00,15.85,65.85,1.163
2025-08-27T19:14:57.831Z,16374,5189,21563,11186,32749,50.00,15.84,65.84,1.151
2025-08-27T19:22:17.359Z,16558,5205,21763,10986,32749,50.56,15.89,66.45,1.131
2025-08-27T19:30:02.528Z,16558,5205,21763,10986,32749,50.56,15.89,66.45,1.251
2025-08-27T19:39:03.127Z,16558,5206,21764,11023,32787,50.50,15.88,66.38,1.212
2025-08-27T19:39:53.628Z,16558,5215,21773,11014,32787,50.50,15.91,66.41,1.21
2025-08-27T19:40:38.176Z,16374,5199,21573,11214,32787,49.94,15.86,65.80,1.147
2025-08-27T19:46:11.137Z,16637,5225,21862,10925,32787,50.74,15.94,66.68,1.284
2025-08-27T19:46:34.868Z,16637,5223,21860,10876,32736,50.82,15.95,66.78,1.306
2025-08-27T19:50:51.154Z,16637,5200,21837,10899,32736,50.82,15.88,66.71,1.341
2025-08-27T19:51:56.153Z,16637,5200,21837,10899,32736,50.82,15.88,66.71,1.296
